frame_number,received_time_ns,rigid_body_id,rigid_body_name,tracking_valid,position_x,position_y,position_z,rotation_x,rotation_y,rotation_z,rotation_w
297281,1787238314732431400,14,RPi6,1,0.589687228203,0.860918462276,0.260284721851,0.00801153294742,-0.285827666521,-0.000647971522994,0.958247303963
297402,1787238315746112500,14,RPi6,1,0.589703023434,0.8609187603,0.260265797377,0.0079373177141,-0.285717964172,-0.000586009642575,0.958280801773
297522,1787238316740454500,14,RPi6,1,0.589704394341,0.860923945904,0.260289698839,0.00797913596034,-0.285784542561,-0.000524530536495,0.958260595798
297641,1787238317737990200,14,RPi6,1,0.589697062969,0.860905885696,0.260262668133,0.00795336533338,-0.285855233669,-0.00079771556193,0.958239555359
297762,1787238318740355800,14,RPi6,1,0.589702248573,0.860888898373,0.26028290391,0.00823466759175,-0.285747468472,-0.000839004176669,0.958269298077
297881,1787238319732658700,14,RPi6,1,0.589705228806,0.860913276672,0.260277986526,0.00805763714015,-0.285863429308,-0.000696369854268,0.958236336708
298001,1787238320732508800,14,RPi6,1,0.589690446854,0.860920548439,0.260290414095,0.00794423092157,-0.285823404789,-0.000676536466926,0.958249211311
298122,1787238321740362300,14,RPi6,1,0.589713096619,0.860899746418,0.26027983427,0.00815896969289,-0.285801053047,-0.000985681428574,0.958253741264
298241,1787238322733986600,14,RPi6,1,0.589698255062,0.860943436623,0.260285198689,0.00786010269076,-0.285872191191,-0.000466092955321,0.958235442638
298361,1787238323737066200,14,RPi6,1,0.589700162411,0.860921800137,0.260276794434,0.0080438721925,-0.28576529026,-0.000509653938934,0.958265781403
298482,1787238324740349700,14,RPi6,1,0.58970528841,0.860895395279,0.260284245014,0.00818922929466,-0.28581994772,-0.000964646693319,0.958247900009
